m0,date,Z_unhedged,Z_delta,Z_delta_vega,Z_diffusion
0.9,2018-07-03,-7.299156264384692,-7.299156264384692,-0.24947877217664427,-0.039802081571238546
0.9,2018-07-05,3.8586413790891356,-8.765415960063478,0.8624520466067906,2.7329993652691513
0.9,2018-07-06,16.009117642848935,-7.585305090975396,-0.04006372385845225,4.284519234015278
0.9,2018-07-09,32.058116398163065,-6.101989051172723,-1.0800773764476617,4.049515657305506
0.9,2018-07-10,42.589644097970336,-2.554436386872908,1.1144767974727756,2.6351538767990803
0.9,2018-07-11,27.59883159291195,-0.9502397727962375,1.8562515070853465,6.554652037678295
0.9,2018-07-12,41.90103679298707,-6.826789177015797,-3.2642207889858526,2.5473268931684743
0.9,2018-07-13,43.899131033953125,-7.134220854812867,-3.4561331198788423,1.602441987071046
0.9,2018-07-16,40.610145496693434,-7.811633351920051,-3.3852540993626974,1.7317106617206548
0.9,2018-07-17,51.60708569022029,-7.096283216643656,-2.922746929932032,-2.5701284494029437
0.9,2018-07-18,56.35378706811423,-8.011458229615187,-3.747223613799065,-3.0271489913872642
0.9,2018-07-19,45.1562808075613,-8.79871837029225,-3.979650592332405,1.4590886592936556
0.9,2018-07-20,42.59297718394396,-8.79766532320923,-3.83918593021167,-1.201899002991297
0.9,2018-07-23,46.860719772314326,-9.507501017015045,-4.0615340005289795,1.0561049035346741
0.9,2018-07-24,60.05925037261255,-9.206174695851075,-4.175491905266824,1.7344802052003843
0.9,2018-07-25,85.6608270960617,-8.970769016881803,-4.256345516925393,2.611862830097351
0.9,2018-07-26,77.02882186150862,-9.00364342550995,-4.258964843905801,2.4547042998659094
0.9,2018-07-27,58.41540723484951,-9.004574518348079,-4.2616001841740285,1.5449454673909315
0.9,2018-07-30,42.18421965243394,-9.021042689574216,-4.262144928522531,0.9819373021684896
0.9,2018-07-31,55.87406213242224,-9.011366643384065,-4.260736751308798,1.095534297884626
0.9,2018-08-01,52.944062131055944,-9.011419358096646,-4.260702112090712,1.0564761627996688
